A reason and confirmation are required.	Une justification et une confirmation sont requises.
Action failed. Check your entries, permissions and round state. No success was confirmed.	L’action a échoué. Vérifiez vos saisies, vos autorisations et l’état du tour. Aucune réussite n’a été confirmée.
Amendments apply only to future rounds. Existing rounds and frozen data retain their original protocol. This technical approval does not replace institutional or ethics approval.	Les modifications s’appliquent uniquement aux futurs tours. Les tours existants et les données figées conservent leur protocole initial. Cette approbation technique ne remplace pas l’approbation institutionnelle ou éthique.
Analysis and subsequent round	Analyse et tour suivant
Analysis queued. Check the operation.	Analyse mise en attente. Consultez l’opération.
Approval or cancellation rationale	Justification de l’approbation ou de l’annulation
Approve local test receipts	Approuver les traces de test locales
Approve new protocol version	Approuver la nouvelle version du protocole
Approved for local test receipts	Approuvé pour les traces de test locales
Approved. No email will be sent.	Approuvé. Aucun e-mail ne sera envoyé.
Assess evidence together	Évaluer ensemble les connaissances
Assign to selected subsequent round	Affecter au tour suivant sélectionné
Cancel pending test receipts	Annuler les traces de test en attente
Cancelled	Annulé
Change state	Changer l’état
Check operation	Consulter l’opération
Choose a rating	Choisir une note
Choose a study to see your available work areas.	Choisissez une étude pour voir vos espaces de travail disponibles.
Coding decision	Décision de codage
Column	Colonne
Comma	Virgule
Complete message text	Texte intégral du message
Complete new protocol (JSON, maximum 1 MB)	Nouveau protocole complet (JSON, 1 Mo maximum)
Complete preview	Aperçu complet
Complete study	Terminer l’étude
Confirm end of participation	Confirmer la fin de la participation
Conflict: reload and review the saved version. Your input remains visible.	Conflit : rechargez la page et vérifiez la version enregistrée. Votre saisie reste visible.
Consent is recorded.	Le consentement est enregistré.
Consent saved. Receipt:	Consentement enregistré. Reçu :
contacts imported;	contacts importés ;
Create a separate version	Créer une version distincte
Create exact preview	Créer l’aperçu exact
Create feedback	Créer la restitution
CSV columns: external_ref, email, display_name, locale, stakeholder_group. Use UTF-8; the entire file must pass validation before import.	Colonnes CSV : external_ref, email, display_name, locale, stakeholder_group. Utilisez UTF-8 ; le fichier entier doit être validé avant l’importation.
Deadline	Date limite
Deadline with timezone	Date limite avec fuseau horaire
Decision rationale	Justification de la décision
Definition and coding rule	Définition et règle de codage
Delimiter	Séparateur
Derivation rationale	Justification de la dérivation
Download export	Télécharger l’export
Draft	Brouillon
Edited text	Texte révisé
End participation	Mettre fin à la participation
Exact recipient selection (pseudonyms)	Sélection exacte des destinataires (pseudonymes)
exactly selected recipients	destinataires explicitement sélectionnés
Exclude	Exclure
Explicitly confirm withdrawal first.	Confirmez d’abord explicitement le retrait.
Export queued. Check the operation.	Export mis en attente. Consultez l’opération.
Feedback assigned.	Restitution affectée.
Feedback created for review.	Restitution créée pour examen.
Feedback released.	Restitution publiée.
Field	Champ
File	Fichier
File schema	Schéma du fichier
Freeze round	Figer le tour
Give a response	Donner une réponse
I confirm the displayed relationship.	Je confirme la relation affichée.
I consent to the displayed study information.	Je consens à participer sur la base des informations affichées sur l’étude.
I independently reviewed this exact version.	J’ai examiné cette version exacte de manière indépendante.
I reviewed my answers. Submission ends editing.	J’ai vérifié mes réponses. L’envoi met fin aux modifications.
I reviewed the round and target state	J’ai vérifié le tour et l’état cible
I reviewed the text and exact recipient list.	J’ai vérifié le texte et la liste exacte des destinataires.
